Kaltmiete,Wohnfläche,Baujahr
231.10,15.00,2012
268.00,43.00,2021
279.50,18.00,2018
284.62,45.81,2021
297.77,13.00,1936
350.00,56.00,2021
364.00,58.74,1974
366.29,51.00,1986
367.00,57.75,2020
375.38,57.00,1939
376.83,58.00,2021
377.00,58.00,2021
377.00,25.00,1995
380.00,12.00,2017
389.00,18.56,2021
389.76,61.10,2020
397.15,15.08,2018
399.00,15.36,2018
399.00,16.95,2018
425.00,45.17,2020
427.31,73.14,1982
430.09,59.02,1982
435.05,42.83,2021
440.72,35.69,1985
449.00,34.38,1985
449.00,34.38,1985
449.00,79.52,1974
460.00,64.01,1985
469.00,24.00,1961
479.00,37.03,1984
479.00,37.03,1984
479.00,29.70,2020
480.00,71.52,1972
481.79,47.00,1910
495.00,52.65,1995
495.00,37.10,1984
500.00,69.36,1985
505.63,20.50,2017
510.00,18.84,2017
521.29,52.28,1996
527.50,40.87,1985
529.00,19.56,2019
548.00,50.09,2018
549.00,69.00,1930
550.00,51.00,1994
550.00,22.00,1990
550.00,20.50,2017
550.00,20.50,2017
550.00,20.50,2017
550.00,20.50,2017
550.00,20.50,2017
555.00,20.41,2017
564.00,28.45,2017
565.08,87.00,2020
565.50,24.10,2020
566.00,72.87,1997
566.05,40.30,2020
569.00,34.95,2020
569.00,34.95,2020
569.00,89.00,2021
578.50,46.71,1985
579.00,13.00,2019
580.00,19.00,2014
580.00,20.50,2017
580.00,79.18,1994
588.31,29.70,2021
599.00,20.00,2018
599.00,60.00,1920
600.00,62.24,1908
600.00,51.09,1900
613.08,44.00,1900
616.00,54.04,1985
619.00,60.25,1996
635.04,37.00,2020
639.00,23.00,2020
640.00,19.14,2018
643.73,27.80,2017
645.00,33.60,2021
649.00,29.70,2021
649.00,29.70,2021
649.00,54.50,1985
649.00,49.60,1927
649.00,42.05,1912
650.00,22.00,2019
659.09,29.71,2018
669.00,45.95,2020
669.00,70.15,1985
669.00,26.00,2020
672.00,29.12,2018
674.00,23.45,2020
675.36,70.91,1998
679.00,56.77,1930
681.24,71.91,2021
686.02,30.00,2020
687.23,68.08,1985
689.00,68.08,1985
689.00,22.35,2020
689.00,24.07,2020
689.00,22.35,2020
689.00,22.35,2020
689.00,22.35,2020
696.00,58.00,2020
696.00,58.00,2020
696.00,34.00,2019
699.00,33.00,1966
700.00,28.22,2020
700.00,36.00,2021
702.00,28.90,2019
710.00,78.50,1996
719.00,39.00,1909
720.00,65.75,1910
729.00,51.38,2020
729.00,65.00,2020
735.00,27.71,2018
736.59,40.37,2021
736.75,63.47,1910
750.00,42.74,1900
750.00,42.74,1900
750.00,26.72,1966
770.00,25.00,2020
775.98,79.72,1995
778.07,48.65,1992
779.00,62.00,1929
780.00,50.00,1900
795.31,30.00,2020
797.00,41.77,2020
