ID,Bezirke
1,Steglitz-Zehlendorf
2,Treptow-Köpenick
3,Reinickendorf
4,Mitte
5,Reinickendorf
6,Neukölln
7,Marzahn-Hellersdorf
8,Spandau
9,Charlottenburg-Wilmersdorf
10,Tempelhof-Schöneberg
11,Marzahn-Hellersdorf
12,Marzahn-Hellersdorf
13,Steglitz-Zehlendorf
14,Treptow-Köpenick
15,Marzahn-Hellersdorf
16,Treptow-Köpenick
17,Treptow-Köpenick
18,Steglitz-Zehlendorf
19,Marzahn-Hellersdorf
20,Neukölln
21,Reinickendorf
22,Marzahn-Hellersdorf
23,Marzahn-Hellersdorf
24,Neukölln
25,Steglitz-Zehlendorf
26,Steglitz-Zehlendorf
27,Pankow
28,Pankow
29,Treptow-Köpenick
30,Spandau
31,Steglitz-Zehlendorf
32,Marzahn-Hellersdorf
33,Steglitz-Zehlendorf
34,Tempelhof-Schöneberg
35,Mitte
36,Pankow
37,Marzahn-Hellersdorf
38,Neukölln
39,Marzahn-Hellersdorf
40,Spandau
41,Marzahn-Hellersdorf
42,Mitte
43,Mitte
44,Mitte
45,Mitte
46,Mitte
47,Mitte
48,Spandau
49,Mitte
50,Marzahn-Hellersdorf
51,Mitte
52,Treptow-Köpenick
53,Lichtenberg
54,Lichtenberg
55,Marzahn-Hellersdorf
56,Marzahn-Hellersdorf
57,Steglitz-Zehlendorf
58,Mitte
59,Mitte
60,Treptow-Köpenick
61,Friedrichshain-Kreuzberg
62,Treptow-Köpenick
63,Mitte
64,Spandau
65,Neukölln
66,Pankow
67,Treptow-Köpenick
68,Mitte
69,Mitte
70,Mitte
71,Lichtenberg
72,Lichtenberg
73,Lichtenberg
74,Reinickendorf
75,Treptow-Köpenick
76,Mitte
77,Lichtenberg
78,Lichtenberg
79,Marzahn-Hellersdorf
80,Steglitz-Zehlendorf
81,Charlottenburg-Wilmersdorf
82,Lichtenberg
83,Tempelhof-Schöneberg
84,Marzahn-Hellersdorf
85,Marzahn-Hellersdorf
86,Mitte
87,Mitte
88,Mitte
89,Mitte
90,Marzahn-Hellersdorf
91,Marzahn-Hellersdorf
92,Marzahn-Hellersdorf
93,Neukölln
94,Mitte
95,Mitte
96,Charlottenburg-Wilmersdorf
97,Steglitz-Zehlendorf
98,Charlottenburg-Wilmersdorf
99,Charlottenburg-Wilmersdorf
100,Treptow-Köpenick
101,Treptow-Köpenick
102,Charlottenburg-Wilmersdorf
103,Friedrichshain-Kreuzberg
104,Friedrichshain-Kreuzberg
105,Steglitz-Zehlendorf
106,Tempelhof-Schöneberg
107,Steglitz-Zehlendorf
108,Tempelhof-Schöneberg
109,Charlottenburg-Wilmersdorf
110,Steglitz-Zehlendorf
111,Charlottenburg-Wilmersdorf
112,Treptow-Köpenick
113,Lichtenberg
114,Pankow
115,Friedrichshain-Kreuzberg
116,Treptow-Köpenick
117,Steglitz-Zehlendorf
118,Mitte
119,Charlottenburg-Wilmersdorf
120,Steglitz-Zehlendorf
121,Friedrichshain-Kreuzberg
122,Friedrichshain-Kreuzberg
123,Treptow-Köpenick
124,Treptow-Köpenick
125,Treptow-Köpenick
126,Mitte
127,Marzahn-Hellersdorf
128,Lichtenberg
129,Lichtenberg
130,Pankow
131,Treptow-Köpenick
132,Mitte
133,Mitte
134,Mitte
135,Mitte
136,Friedrichshain-Kreuzberg
137,Friedrichshain-Kreuzberg
138,Treptow-Köpenick
139,Charlottenburg-Wilmersdorf
140,Reinickendorf
141,Pankow
142,Pankow
143,Treptow-Köpenick
144,Pankow
145,Treptow-Köpenick
146,Treptow-Köpenick
147,Mitte
148,Mitte
149,Mitte
150,Pankow
151,Marzahn-Hellersdorf
152,Treptow-Köpenick
153,Spandau
154,Friedrichshain-Kreuzberg
155,Marzahn-Hellersdorf
156,Friedrichshain-Kreuzberg
157,Treptow-Köpenick
158,Treptow-Köpenick
159,Pankow
160,Treptow-Köpenick
161,Mitte
162,Marzahn-Hellersdorf
163,Steglitz-Zehlendorf
164,Treptow-Köpenick
165,Spandau
166,Treptow-Köpenick
167,Mitte
168,Mitte
169,Charlottenburg-Wilmersdorf
170,Steglitz-Zehlendorf
171,Mitte
172,Pankow
173,Pankow
174,Steglitz-Zehlendorf
175,Treptow-Köpenick
176,Treptow-Köpenick
177,Spandau
178,Spandau
179,Pankow
180,Mitte
181,Mitte
182,Pankow
183,Pankow
184,Lichtenberg
185,Pankow
186,Steglitz-Zehlendorf
187,Treptow-Köpenick
188,Neukölln
189,Treptow-Köpenick
190,Mitte
191,Mitte
192,Mitte
193,Mitte
194,Mitte
195,Tempelhof-Schöneberg
196,Treptow-Köpenick
197,Pankow
198,Friedrichshain-Kreuzberg
199,Charlottenburg-Wilmersdorf
200,Mitte
201,Spandau
202,Mitte
203,Reinickendorf
204,Mitte
205,Mitte
206,Steglitz-Zehlendorf
207,Treptow-Köpenick
208,Pankow
209,Mitte
210,Mitte
211,Mitte
212,Mitte
213,Charlottenburg-Wilmersdorf
214,Treptow-Köpenick
215,Pankow
216,Treptow-Köpenick
217,Treptow-Köpenick
218,Pankow
219,Spandau
220,Treptow-Köpenick
221,Treptow-Köpenick
222,Lichtenberg
223,Charlottenburg-Wilmersdorf
224,Mitte
225,Mitte
226,Mitte
227,Friedrichshain-Kreuzberg
228,Lichtenberg
229,Friedrichshain-Kreuzberg
230,Mitte
231,Friedrichshain-Kreuzberg
232,Steglitz-Zehlendorf
233,Pankow
234,Charlottenburg-Wilmersdorf
235,Charlottenburg-Wilmersdorf
236,Mitte
237,Pankow
238,Mitte
239,Mitte
240,Charlottenburg-Wilmersdorf
241,Charlottenburg-Wilmersdorf
242,Pankow
243,Tempelhof-Schöneberg
244,Neukölln
245,Lichtenberg
246,Friedrichshain-Kreuzberg
247,Mitte
248,Lichtenberg
249,Pankow
250,Charlottenburg-Wilmersdorf
251,Lichtenberg
252,Pankow
253,Charlottenburg-Wilmersdorf
254,Mitte
255,Mitte
256,Friedrichshain-Kreuzberg
257,Friedrichshain-Kreuzberg
258,Steglitz-Zehlendorf
259,Pankow
260,Mitte
261,Mitte
262,Mitte
263,Friedrichshain-Kreuzberg
264,Mitte
265,Pankow
266,Mitte
267,Charlottenburg-Wilmersdorf
268,Mitte
269,Mitte
270,Spandau
271,Pankow
272,Steglitz-Zehlendorf
273,Mitte
274,Mitte
275,Mitte
276,Mitte
277,Pankow
278,Mitte
279,Mitte
280,Mitte
281,Pankow
282,Friedrichshain-Kreuzberg
283,Charlottenburg-Wilmersdorf
284,Reinickendorf
285,Mitte
286,Mitte
287,Pankow
288,Mitte
289,Mitte
290,Mitte
291,Mitte
292,Mitte
293,Mitte
294,Mitte
295,Mitte
296,Mitte
297,Mitte
298,Mitte
299,Mitte
300,Mitte
301,Mitte
302,Mitte
303,Mitte
304,Mitte
305,Mitte
306,Mitte
307,Pankow
308,Charlottenburg-Wilmersdorf
309,Charlottenburg-Wilmersdorf
310,Charlottenburg-Wilmersdorf
311,Charlottenburg-Wilmersdorf
